id,rank,player,age_that_year,hits,year,bats
347,,Luke Appling,29,204,1936,R
348,,Carson Bigbee,26,204,1921,L
349,,Robinson Cano,26,204,2009,L
350,,Jimmie Foxx,25,204,1933,R
351,,Steve Garvey,30,204,1979,R
352,,Charlie Gehringer,30,204,1933,L
353,,Doug Glanville,28,204,1999,R
354,,Hughie Jennings,26,204,1895,R
355,,Willie Keeler,28,204,1900,L
356,,Heinie Manush,27,204,1929,L
357,,Irish Meusel,29,204,1922,R
358,,Dale Mitchell,26,204,1948,L
359,,Johnny Mize,24,204,1937,L
360,,Ed Morgan,26,204,1930,R
361,,Tony Oliva,31,204,1970,L
362,,Al Oliver,35,204,1982,L
363,,Juan Pierre,25,204,2003,L
364,,Juan Pierre,28,204,2006,L
365,,Vada Pinson,24,204,1963,L
366,,Vada Pinson,26,204,1965,L
367,,Jose Reyes,25,204,2008,B
368,,Pete Rose,36,204,1977,B
369,,Babe Ruth,26,204,1921,L
370,,Joe Sewell,26,204,1925,L
371,,Milt Stock,26,204,1920,R
372,,Bill Sweeney,26,204,1912,R
373,,Miguel Tejada,28,204,2002,R
374,,Cesar Tovar,30,204,1971,R
375,,George Van Haltren,32,204,1898,L
376,,Bernie Williams,33,204,2002,B
377,,Michael Young,26,204,2003,R
378,,Ross Youngs,23,204,1920,L
379,379,Wade Boggs,26,203,1984,L
380,,Ryan Braun,25,203,2009,R
381,,Jesse Burkett,31,203,1900,L
382,,Rod Carew,27,203,1973,L
383,,Earle Combs,26,203,1925,L
384,,Cecil Cooper,33,203,1983,L
385,,Joe Cronin,23,203,1930,R
386,,Hugh Duffy,26,203,1893,R
387,,Augie Galan,23,203,1935,B
388,,Hank Greenberg,24,203,1935,R
389,,Tony Gwynn,29,203,1989,L
390,,Rogers Hornsby,29,203,1925,R
391,,Woody Jensen,27,203,1935,L
392,,Derek Jeter,24,203,1998,R
393,,Jimmy Johnston,31,203,1921,R
394,,Jimmy Johnston,33,203,1923,R
395,,Hank Leiber,24,203,1935,R
396,,Dale Mitchell,27,203,1949,L
397,,Rafael Palmeiro,26,203,1991,L
398,,Jackie Robinson,30,203,1949,R
399,,Jean Segura,26,203,2016,R
400,,Ruben Sierra,25,203,1991,B
401,,Stan Spence,27,203,1942,L
402,,Miguel Tejada,30,203,2004,R
403,,Bill Terry,36,203,1935,L
404,,Sam Thompson,27,203,1887,L
405,,Joe Torre,29,203,1970,R
406,,Chase Utley,27,203,2006,L
407,,Billy Williams,27,203,1965,L
408,408,Lou Brock,31,202,1970,L
409,,Roberto Clemente,31,202,1966,R
410,,Earle Combs,30,202,1929,L
411,,Doc Cramer,28,202,1934,L
412,,Kiki Cuyler,32,202,1931,R
413,,Woody English,25,202,1931,R
414,,Steve Garvey,29,202,1978,R
415,,Vladimir Guerrero,23,202,1998,R
416,,Shoeless Joe Jackson,28,202,1916,L
417,,Derek Jeter,31,202,2005,R
418,,Alex Johnson,27,202,1970,R
419,,Willie Keeler,29,202,1901,L
420,,Bill Lamar,28,202,1925,L
421,,Wally Moses,25,202,1936,L
422,,Lefty O'Doul,33,202,1930,L
423,,Juan Pierre,23,202,2001,L
424,,Carl Reynolds,27,202,1930,R
425,,Sam Rice,38,202,1928,L
